Acute Myocardial Infarction,"(AMI) infarction of the myocarium usually due to obstructed coronary artery."
AIDS,"Acquired immune deficiency syndrome permits opportunistic infections"
Air Embolism,Air bubble in the vasculature. Most people can tolerate up to 200cc of air injected into the vein
Allergic Reaction,Local response to an antigen with mast cell degranulation at the site of the offending antigen
ALS,"Amieotrophic lateral sclerosis, also known as Lou Garrig's Disease. You loose all muscle control except for eye movement. Your mind remains intact with your eyes the only thing you can communicate with. Like being trapped in a shell"
Anaphylaxis,Generalized massive response to an antigen causing body wide mast cell degranulation
Boerhaave Syndrome,"Spontaneous rupture of the lower esophagus a variant of Mallory-Weiss syndrome. Rupture of the esophagus. It is generally caused by excessive vomiting in eating disorders such as bulimia although it may rarely occur in extremely forceful coughing or other situations. It can cause pneumomediastinum and/or mediastinitis (air or inflammation of the mediastinum) and sepsis.Esophageal rupture in Boerhaave syndrome is thought to be the result of a sudden rise in internal esophageal pressure produced during vomiting... as a result of neuromuscular incoordination causing failure of the cricopharyngeus muscle (a sphincter within the esophagus) to relax. The syndrome is commonly associated with the consumption of excessive food and/or alcohol. The most common anatomical location of the tear in Boerhaave syndrome is at left posterolateral wall of the lower third of the esophagus... 2-3 cm before the stomach."
Cancer,"A malignant tumor... can cause hypercalciumia"
Candidiasis,Thrush
Cardiac Asthma,Wheezing heard in pulmonary edema & CHF
Carpal Pedal Spasm,Tetany of the hands
Carpal Tunnel,"Soreness tenderness weakness of thumb caused by pressure on nerve"
Cholecystitis,Inflammation of the gall bladder
Consolidation,"Pneumonia act of becoming solid"
Cerebral Palsy,(CP) bilateral nonprogressive paralysis resulting from developmental defects in the brain. Can be caused by hypoxia to a fetus during a long delivery."
Diverticulosis,"Out pouchings bleed... can get massive bleeds"
Dressler Syndrome,"A post MI complication that can occur in two weeks to nine months after MI. The three symptoms are:  1. Pericarditis   2. Pleural effusion  3. Pericardial effusion. Dressler's syndrome causes the following signs and symptoms after heart surgery... a heart attack or an injury to the heart:* Chest pain * Shortness of breath or pain when breathing (pleurisy) * Fever * Left shoulder pain... Dressler's syndrome is thought to develop as an immune system response following a heart attack or heart surgery. Your body's reaction to a heart injury is similar to its reaction to a virus or other illness. It responds to injury and illness by sending proteins called antibodies. The antibodies cause inflammation... and the symptoms of Dressler's syndrome develop... Treatment is usually with NSAIDS.
Dyspepsia,"Acid Indigestion. Intermittent rare discomfort that can be relieved by medication or identifying the offending food. Occurs 1 - 2 x per month"
Endodemetriosis,"Lining of the uterus ends up outside the uterus in the abdominal cavity. Can cause infertility severe menstrual bleeding... cramps."
Esophageal Bolus,"Esophageal achalasia. Usually food stuck in the esophageous... pts will think they are choking with large volumes of drooling. A piece of food is lodged in the esophagus and behind the trachea giving the sensation of choking... although the Pt will be breathing and speaking adequately. There will be increased mucous production in the superior portion of the esophagus and the Pt will spit up tenacious mucous. This is a painful spasm for the Pt. This condition can also be caused by an esophageal carcinoma. This can be treated with nitroglycerine (btw. 1-3 q 5min.) because it's a smooth muscle relaxer and will relieve the spasms. One novel way to deal with this is to have the Pt drink something carbonated... apply a proper Sellick's maneuver and have them hold it for a minute or two. The CO2 will expand and cause the esophagus to expand around the obstruction; this will usually relieve it but these Pt's should still be trx to r/o esophageal carcinoma. Presbyesophagus (an old esophagus) can also cause this condition."
Gastritis,Stomach inflammation
GERD,"Gastric Esophageal Reflux Disease... often seen in pregnancy... back up of gastric juices into the esophagus. Episodes or dyspepsia greater than two times a week despite appropriate care. This causes chronic irritation that can over the long term, cause esophageal cancer."
Guillain Barre,A neuromotor disease causing increasing paralysis starting from the feet & working its way up until you are completely paralyzed. Pt ends up on ventilator & then this goes away from the head down. It may be a viral disease
Hemolytic Reaction,"Anything that destroys RBC's... presents in two ways; generalized body edema... treat with lasix & mannitol or anaphylaxis; treat with epi & benadryl"
Hernia,"A hernia is a loop of bowel that has passed through a muscular wall due to stromal integrity. Most are reducible simply by physically pushing it back through the opening. Anterior abd, scrotal and inguinal hernias are the most common."
Hiatal Hernia,"Protrusion of stomach into mediastinal cavity thru the diaphragm. This is a hernia specifically at the esophagogastic junction. There is stromal tissue that anchors the diaphragm to the esophagus. A hiatal hernia is loss of integrity if this stromal tissue causing the stomach to herniated through the cardiac sphincter. This usually only occurs on one side of the sphincter. There is a sliding hiatal hernia and a fixed hiatal hernia. This allows for production of HCl in the epigastrium which the esophagus is ill prepared to deal with."
Hyperkalemia,Too much potassium... causes cardiac dysrythmias... see tall peaked "T" waves that can progress to a sine wave rhythm with very high K+ levels. Treat with Calcium Bicarb and Dextrose
Hyperventilation Syndrome,Blow off too much CO2 causes hypocalcemic type reactions
Hypothermia,Low body core temperature
Kidney Stone,Severe pain restlessness "Worst pain ever felt" stone in the urete
Lown-Ganong-Levine Syndrome,(LGL) is a syndrome of pre-excitation of the ventricles due to an accessory pathway providing an abnormal electrical communication from the atria to the ventricles. It is grouped with Wolff-Parkinson-White syndrome as an atrioventricular re-entry tachycardia (AVRT). Like WPW but without the Delta wave. 
Leukoplakia,"See "Thrush" = White cottage cheese appearing growth found in the mouth of pts due to antibiotics or immineuosuppression
Uremia,Toxic retention of urine
Mallory Weiss Syndrome,Linear tear in the esophogastric junction caused from retching. Usually seen in alcoholics Hx of dry heaves first after tearing blood pours into stomach & 5 - 10 minutes later they vomit up bright red blood (hematemesis)
Marfan's Disease,"Genetic disorder that effects connective tissues... rare. Pts are taller than 6' 5"" with very skinny arms. Arm span greater than height very long fingers detached lens in eye. The aortic valve dilates or the aorta ruptures very critical surgical patients. Usually get in trouble around 25-30 years of age"
Meningitis,"Irritation of meningies due to bacteria virus or blood"
Metastatic Disease,Movement of cancer cells from one area of the body to another.
Multiple Sclerosis,(MS) the bodies "T" cells attack the myelin sheath of the nerves causing weakness or numbness of the limbs & hyperactive tendon reflexes. This can be a chronic condition with steady deteriorization or remitting with periods of recovery followed by neurologic dysfunction"
