Action,Performance or function
Active Transport,The movement of a substance across a cell membrane against the osmotic gradient. This process requires energy; in the form of ATP; to move against the concentration gradient.
Additive Effect,1+1=2  An effect in which two substances used in combination produce a total effect the same as the sum of the individual effects.
Adverse Effect,A known adverse effect to a medication
Agonist,Doer
Anion,"A negatively charged particle (contains more electron than protons).                                                                               Chloride Cl-
Bicarbonate HCO3  -
Phosphate HPO4 --
"
Antagonism,Blocker. 1+1=0  Two drugs used conjunctively cancel each other out. They inhibit each other's function.
Bioavailability,Amount of a drug available to produce a biological effect
Bicarbonate HCO3-, Anion. Principal buffer in the body. Can neutralize organic acids and other acids in the body helping to maintain homeostasis. Carbonic anhydrase is an enzyme produced by the kidneys to scavenge bicarbonate
Biotransformation,Chemical changes on a substance by the body
Blood Brain Barrier,Membrane between circulating blood and brain preventing certain damaging substances from reaching brain tissue
Brownian Movement,The random movement of a particle suspended in fluid; random movement of an atom.
Cardiospecific,Drug that has a specific action on the heart only
Cation,"A positively charged particle (contains fewer electrons than protons):                                                                                                   Sodium or Natrium Na+
Potassium or Kalium K+
Calcium Ca++
Magnesium Mg++
"
Calcium Ca++,Cation. Triggers almost every intracellular function. Important in neural impulse transmission and muscle contraction.
Chloride Cl-,Anion. Often found with sodium extracellularly. Important in fluid balance and renal function.
Circadian Rhythm,Internal body rhythms occurring at regular intervals. Your body has more than 100 circadian rhythms. Each unique 24-hour cycle influences an aspect of your body's function; including body temperature; hormone levels; heart rate; blood pressure-- even pain threshold.
Competitive Antagonist,"Competes with an agonist for a receptor. The highest concentration that sticks the best wins. When the antagonist is bound to a receptor site the agonist can?t bind to the receptor. 
Competitive antagonism is reversible. E.g. Narcan is a competitive antagonist with heroin"
Diffusion,Movement of molecules from an area of higher concentration to an area of lower concentration. No energy is required in diffusion; passive movement; always follows concentration gradient of high to low. Salts diffuse in and out of cells.
DNA,The material inside the nucleus of cells that carries genetic information. The scientific name for DNA is deoxyribonucleic acid.                                                                                                                                                     4 types: Adenine; Thymine; Guanine; Cytosine. These are the four bases found in DNA that hold the DNA strands together.
Down-regulation,Over stimulation of receptors may reduce the number of receptors
EC50(Effective concentration 50%),The concentration of a drug that produces a specific clinical effect in 50% of the tested population.
Efficacy,How well a drug works; the degree to which a drug is able to induce maximal effects; effectivity.
Extrapyramidal Reaction,Specific untoward reaction to phenothiazine group of tranquilizers that results in uncomfortable face; neck & upper extremity paraylsis; often the pt will present in weird poses making you think the pt is a psych case. Benadryl can be used to treat this.
Facilitated Diffusion,Sometimes a molecule is too big to move through simple diffusion; cells don?t have big enough pores in their membranes. Transporter proteins facilitate diffusion through a cell membrane if this is the case. Transporter proteins open and close and typically do not require energy for this process. E.g. Glucose is able to diffuse across a cell membrane; but does so slowly. With the assistance of glut transporters; glucose is able to move much more quickly into cells through active (requiring energy) diffusion through the transporter proteins.
First Pass Effect,The effect the liver has on a medication that is taken orally (enteral)
